question_number,statement,question_a,question_b,question_c,question_d,question_e,source,answer
49,"No segundo parágrafo, os travessões em “– os guias locais da região amazônica –” destacam trecho que se 
refere aos mateiros, apresentando uma",contradição,explicação,retificação,enumeração,advertência,Vestibulinho 1SEM2025,B
50,"cresci feito árvore torta 
numa horta 
que não deveria ter dado espaço para mim. 
cresci perdendo folhas, 
alcancei o sol cedo demais, 
queimei a ponta dos meus galhos, 
e choro junto ao céu em dias de chuva 
pra ninguém perceber. 
crescer é um pouco de se adaptar 
com se aceitar. 
é um pouco injusto, 
mas é necessário. 
minhas raízes me empurram pro céu, 
sou árvore que queria ser estrela.
João Doederlein – @AKAPOETA
Depreende-se do poema que o processo de crescimento pressupõe",reconhecer que esse processo é justo por exigir subserviência e aceitação,conciliar a aceitação de si mesmo com a necessidade de ser resiliente diante dos problemas enfrentados,expor sem receios os sofrimentos a fim de depender do apoio das pessoas com quem se convive,acelerar o processo de evolução por meio da busca constante pelo sucesso a qualquer custo,"resignar-se a viver de maneira limitada, mesmo que haja condições propícias ao desenvolvimento.
Exame: 15/12/2024 
15/12/2024 
(domingo), às 13h30
Vestibulinho
Vestibulinho
1 o SEM/2025
 SEM/2025
FOLHA DE RESPOSTAS INTERMEDIÁRIAS
FOLHA DE RESPOSTAS INTERMEDIÁRIAS
Prezado(a) candidato(a),
Prezado(a) candidato(a),
1.1. Responda a todas as questões contidas neste caderno e, se desejar, transcreva as alternativas 
 Responda a todas as questões contidas neste caderno e, se desejar, transcreva as alternativas
assinaladas para esta Folha de Respostas Intermediária.
assinaladas para esta Folha de Respostas Intermediária.
2.2. Não deixe questões em branco.
 Não deixe questões em branco.
3.3. Marque com cuidado e assinale apenas uma resposta para cada questão.
 Marque com cuidado e assinale apenas uma resposta para cada questão.
4.
4. Transcreva todas as alternativas para a Folha de Respostas Definitiva, utilizando
 Transcreva todas as alternativas para a Folha de Respostas Definitiva, utilizando caneta esferográfica de 
 caneta esferográfica de 
tinta preta ou azul
tinta preta ou azul, conforme o modelo a seguir:
, conforme o modelo a seguir:
A
B
D
E
PROVA (50 RESPOSTAS)
PROVA (50 RESPOSTAS)
RESPOSTAS de 31 a 45
RESPOSTAS de 46 a 50
RESPOSTAS de 01 a 15
RESPOSTAS de 16 a 30
01
31
16
46
A
C
B
D
E
A
C
B
D
E
A
C
B
D
E
A
C
B
D
E
02
32
17
47
A
C
B
D
E
A
C
B
D
E
A
C
B
D
E
A
C
B
D
E
03
33
18
48
A
C
B
D
E
A
C
B
D
E
A
C
B
D
E
A
C
B
D
E
04
34
19
49
A
C
B
D
E
A
C
B
D
E
A
C
B
D
E
A
C
B
D
E
05
35
20
50
A
C
B
D
E
A
C
B
D
E
A
C
B
D
E
A
C
B
D
E
06
36
21
A
C
B
D
E
A
C
B
D
E
A
C
B
D
E
07
37
22
A
C
B
D
E
A
C
B
D
E
A
C
B
D
E
08
38
23
A
C
B
D
E
A
C
B
D
E
A
C
B
D
E
09
39
24
A
C
B
D
E
A
C
B
D
E
A
C
B
D
E
10
40
25
A
C
B
D
E
A
C
B
D
E
A
C
B
D
E
11
41
26
A
C
B
D
E
A
C
B
D
E
A
C
B
D
E
12
42
27
A
C
B
D
E
A
C
B
D
E
A
C
B
D
E
13
43
28
A
C
B
D
E
A
C
B
D
E
A
C
B
D
E
14
44
29
A
C
B
D
E
A
C
B
D
E
A
C
B
D
E
15
45
30
A
C
B
D
E
A
C
B
D
E
A
C
B
D
E",Vestibulinho 1SEM2025,B
1,"A convivência com os animais mudou os seres humanos. 
Talvez o exemplo mais popular seja o consumo de leite: antes 
da domesticação animal, as pessoas naturalmente desenvolviam 
intolerância a lactose à medida que cresciam e não precisavam mais 
do leite materno. Quando os seres humanos começaram a criar gado, 
começaram a beber mais leite, havendo uma adaptação do sistema 
digestivo para o consumo do leite durante toda a vida.
A domesticação é parte da conexão humana com os animais, 
que percorre toda a história e conecta grandes saltos evolutivos, 
como o desenvolvimento de ferramentas e até da linguagem.
Segundo o texto, a domesticação de animais","ocorreu recentemente, no período medieval, e foi possível devido à invenção da linguagem e das 
ferramentas de pedra","causou danos à saúde humana, que não estava preparada para o consumo de leite na vida adulta, 
diminuindo a expectativa média de vida do homem contemporâneo","aumentou os níveis naturais de intolerância a lactose no homem pré-histórico devido às diferenças 
entre o leite materno e o leite de vaca","contribuiu para o desenvolvimento de aspectos culturais que favoreceram a evolução humana, 
como a criação de ferramentas e da linguagem",provocou saltos evolutivos que atrasaram o desenvolvimento da linguagem e da tecnologia,Vestibulinho 1SEM2026,D
2,"De acordo com o texto e considerando que existem atualmente, no Brasil, cerca de 6,5 milhões de pessoas 
com deficiência visual, assinale a alternativa que apresenta a melhor aproximação da razão entre o número 
de cães-guia em atividade e o número de pessoas com deficiência visual em nosso país, respectivamente.",1 para cada 29 000,1 para cada 30500,1 para cada 31400,1 para cada 31800,1 para cada 32 700,Vestibulinho 1SEM2026,C
3,"Com base nos dados sobre as raças, assinale a alternativa que apresenta o gráfico de setor que melhor 
representa a distribuição de cães-guia.",Outras raças,Outras raças,Outras raças,Outras raças,Outras raças,Vestibulinho 1SEM2026,D
4,"Meu cão me revigora toda. Sem falar que dorme às vezes aos meus pés 
enchendo o quarto da cálida vida úmida. O meu cão me ensina a viver. 
Ele só fica “sendo”. “Ser” é a sua atividade.
LISPECTOR, Clarice. Um sopro de vida. Org. Olga Borelli. Rio de Janeiro: Rocco, 1999, p. 43.
Na passagem apresentada, o cão é usado como modelo a ser seguido por","realizar com simplicidade ações complexas, como acalentar as dores alheias e submeter-se constantemente 
às vontades dos outros","sentir-se acolhido ao ser inferiorizado diante de seus superiores hierárquicos, evidenciando a aceitação 
de sua posição social","manter uma atitude de inquietação constante diante da existência, levando-o a revigorar a sociedade em 
que se encontra","regozijar-se diante da possibilidade de tornar um outro indivíduo tenso pela simples companhia que 
pode oferecer","viver com plenitude sua existência, sem se deixar levar por infrutíferas angústias durante esse processo",Vestibulinho 1SEM2026,E
5,"Uma das primeiras domesticações de gatos aconteceu no antigo Egito. 
Os gatos, felinos menores, viviam entre os humanos, sendo essenciais 
para a sociedade egípcia na proteção contra pragas de casas e 
de celeiros.
Já os felinos maiores, principalmente leões e leopardos, eram admirados 
por suas qualidades, sendo, muitas vezes, símbolos da realeza e 
de alguns deuses do panteão egípcio.
Por meio da observação, os egípcios vieram a admirar os felinos pela 
sua natureza complexa e dual. Para eles, esses animais combinavam 
graça, fertilidade e cuidado suave com agressão, rapidez e perigo. 
Os deuses relacionados a essas qualidades eram frequentemente 
representados com características felinas.
A partir da leitura do texto, é correto concluir que","os egípcios observavam nos felinos algumas características que consideravam admiráveis, como graça, 
fertilidade, cuidado e rapidez, e as projetavam em seus deuses","os felinos eram importantes para a sociedade egípcia apenas por suas funções práticas, como o controle 
de pragas em casas e em celeiros","a admiração dos egípcios se restringia aos felinos menores, que viviam entre os humanos e eram 
considerados símbolos de realeza","a observação atenta levou os egípcios a considerar os felinos uma espécie contraditória cujas 
características de personalidade deveriam ser evitadas","as divindades egípcias representavam ideais nobres e estavam relacionadas à crença de que os seres 
humanos são superiores aos animais",Vestibulinho 1SEM2026,A
6,"A convivência com pets pode ajudar no desenvolvimento afetivo e 
psicológico, aumentando a produção de endorfina no organismo, 
minimizando os efeitos da depressão, da dor e da ansiedade.
Pesquisas revelam que 80% das pessoas se sentem menos solitárias 
ao conviver com um animal de estimação e que o ato de fazer carinho 
em um animal é capaz de diminuir a frequência cardíaca e a pressão 
sanguínea de uma pessoa. Entre os efeitos positivos de intervenções 
assistidas realizadas com animais e destinadas a crianças, estão melhora 
na convivência social, na capacidade de concentração e nas habilidades 
de comunicação.
De acordo com o texto, a convivência entre crianças e animais acarreta","aumento da produção de endorfina no organismo, tornando dispensável qualquer tipo de 
acompanhamento emocional","dependência emocional tão intensa que a criança rejeita completamente o convívio social, 
isolando-se do mundo","redução da necessidade de tomar medicamentos, de fazer exercícios físicos e de se preocupar com 
alimentação saudável","desfavorecimento do desenvolvimento da capacidade de organização, uma vez que ajuda a criança a 
criar uma rotina","melhora habilidades de convivência social e de comunicação, contribuindo para o desenvolvimento afetivo 
e psicológico",Vestibulinho 1SEM2026,E
7,"A cachorrinha Laika, lançada no satélite russo Sputnik 2, em 1957, 
não retornou. Entre 1948 e 1961, União Soviética (URSS) e Estados 
Unidos (EUA) enviaram 65 animais ao espaço, sendo 48 cães, 
15 macacos e 2 coelhos. Vinte e sete deles morreram em acidentes 
devido a circunstâncias imprevistas durante a empreitada.
O envio de animais não humanos ao espaço começou a cessar com o 
lançamento de pessoas. Yuri Gagarin, que ficou uma hora e meia no 
espaço em 1961, brincou uma vez dizendo que foi, ao mesmo tempo, 
a “primeira pessoa e o último cachorro no espaço”.
O processo histórico referido no texto é característico do período conhecido como",Primeira Revolução Industrial,Segunda Guerra Mundial,Reconstrução Europeia,Grandes Navegações,Guerra Fria,Vestibulinho 1SEM2026,E
8,"Segundo o texto, é correto afirmar que","o vocábulo “xerimbabos”, cujo sentido equivale a “entes muito amados”, é usado para se referir 
às crianças que desenvolvem afeto pelos animais silvestres","o movimento repentino de ataque do bicho-preguiça traumatizou as irmãs Yzuahy e Ywàna, 
desacostumadas ao convívio com a natureza local","a relação afetiva desenvolvida entre os animais silvestres e os domésticos acarretou desequilíbrio 
ecológico para a comunidade indígena","a relação com a fauna e a flora é essencial para uma vivência harmônica na sociedade em 
que as irmãs residem","o cuidado com a fauna local realizado pelos indígenas introduziu o conceito de “animais domésticos” 
à comunidade",Vestibulinho 1SEM2026,D
9,"Além dos animais citados no texto, muitos grupos indígenas ainda consideram águias, corujas, sabiás, 
raposas, cobras e tartarugas como animais sagrados, sendo a onça um símbolo cultural e espiritual, vista como 
a guardiã da floresta.
Sobre os animais citados, é correto afirmar que","as aves se caracterizam por serem animais carnívoros, dotados de bico forte e curvo, com garras afiadas, 
com pelos e escamas no corpo e nas patas","a relação dos indígenas com os xerimbabos tem o objetivo de garantir a criação desses animais em 
cativeiro para o abate diário e a alimentação da comunidade","os xerimbabos são muito queridos pelos indígenas e, apesar de estarem em cativeiro, são cuidados com 
muito respeito e soltos na floresta quando em perigo de extinção","a onça é considerada a guardiã da floresta, ocupa o topo da cadeia alimentar por se alimentar de herbívoros 
maiores e de predadores menores, mantendo dessa forma o equilíbrio ambiental","os animais considerados sagrados pelos indígenas se caracterizam por serem carnívoros e por 
conseguirem manter a temperatura corporal constante, independentemente da temperatura do ambiente",Vestibulinho 1SEM2026,D
10,"As expressões em negrito no texto denotam, respectivamente,","tempo, origem, causa e lugar","condição, destino, instrumento e causa","consequência, origem, companhia e tempo","condição, destino, ferramenta e causa","tempo, lugar, companhia e lugar",Vestibulinho 1SEM2026,E
11,"Na passagem “quando cresceu, ficou livre e acabou indo com o seu bando”, a expressão “acabou indo” aponta",uma ação inacabada que é realizada recorrentemente,uma ação inacabada que se prolonga infinitamente,uma ação finalizada que é enfatizada ao terminar,o início de uma ação que se realiza rapidamente,o desenvolvimento de uma ação que não se concretiza,Vestibulinho 1SEM2026,C
12,"O pronome eles, sublinhado no quarto parágrafo do texto, refere-se aos termos",“territórios” e “pets”,“pets” e “adultos”,“indígenas” e “animais”,“pets” e “animais”,“territórios” e “adultos”,Vestibulinho 1SEM2026,D
13,"Um município deseja implementar um projeto de equoterapia que terá uma equipe multidisciplinar 
(psicólogos, fisioterapeutas, pedagogos, fonoaudiólogos, entre outros) e 12 cavalos preparados especialmente 
para as atividades. Os atendimentos acontecerão de terça a sexta-feira, e cada pessoa assistida pelo projeto 
deverá realizar duas sessões por semana, tendo cada uma das sessões duração de 30 minutos.
Sabendo que cada cavalo não pode trabalhar mais do que 3 horas por dia, o número máximo de pessoas 
que poderão ser atendidas, por semana, pelo projeto é",144,180,288,360,576,Vestibulinho 1SEM2026,A
14,"Leia a tirinha.
Criado por Maurício de Sousa na década de 1960, Horácio é um adorável filhote de Tiranossauro Rex.
Embora o personagem faça um grande sucesso desde sua criação, há um erro científico na tirinha, uma vez que","filhotes de répteis carnívoros, como o Tiranossauro Rex, não se desenvolviam em ovos, mas no 
útero das fêmeas, como ocorre com os mamíferos","os dinossauros, embora convivessem harmonicamente com os seres humanos, não eram capazes 
de manter relações de afeto com as pessoas","o Tiranossauro Rex, assim como as aves, tinha o hábito instintivo de enterrar inteiramente seus ovos 
para protegê-los dos predadores","os dinossauros foram extintos há milhões de anos, muito antes da aparição dos primeiros 
hominídeos na Terra","as evidências paleontológicas indicam que as fêmeas de Tiranossauros Rex não se afastavam 
de seus ovos, já que eram animais domésticos",Vestibulinho 1SEM2026,D
15,O principal produto gasoso formado no processo mencionado é,dióxido de carbono (CO2​),monóxido de carbono (CO),nitrogênio (N2​),hidrogênio (H2),ozônio (O3​),Vestibulinho 1SEM2026,A
16,"O oxigênio e a glicose são classificados, respectivamente, como",substância composta e substância simples,substância simples e substância composta,substância composta e substância composta,substância composta e mistura,substância simples e mistura,Vestibulinho 1SEM2026,B
17,"Um dos argumentos de Wegener que fundamenta sua teoria é de base paleontológica e se respalda na 
existência de",água doce presente em todos os continentes,formações geomorfológicas similares em continentes diferentes,fósseis idênticos encontrados em continentes hoje afastados,destroços de navios localizados ao longo das costas oceânicas,justaposição entre as linhas de costa da Ásia e da América do Sul,Vestibulinho 1SEM2026,C
18,"A Terra pode ser considerada um grande ímã, em que o polo Norte 
magnético está próximo ao polo Sul geográfico e, por sua vez, o polo Sul 
magnético está próximo ao polo Norte geográfico.
Diversos animais, como as aves, possuem uma característica 
denominada magnetorrecepção, que é a capacidade de perceber o campo 
geomagnético. Isso permite ao animal orientar-se durante o voo em 
relação à sua localização (altitude, direção e sentido de deslocamento). 
Essa percepção do campo geomagnético pode ocorrer por diferentes 
mecanismos, como glândulas, células e/ou proteínas.
Suponha que uma ave com essa capacidade migre diretamente do Canadá até o Brasil.
Nessas condições, é correto afirmar que a ave",se desloca de uma posição próxima ao polo Sul magnético no sentido do polo Sul geográfico,se desloca em trajetória retilínea traçada pelas linhas de campo geográfico,se desloca em uma trajetória paralela às linhas latitudinais,"usa glândulas, células ou proteínas como bússolas elétricas",usam o sistema de geoposicionamento denominado GPS,Vestibulinho 1SEM2026,A
19,"As aves conhecidas como pisco-de-peito-ruivo, ao migrarem, sempre 
conseguem retornar ao exato ponto de onde partiram, pois conseguem 
perceber o campo magnético da Terra que, próximo a sua superfície, 
tem densidade média de fluxo magnético estimada de 50 µT — cerca de 
um centésimo da força de um ímã de geladeira.
– 6 T, assinale a alternativa que apresenta corretamente, em notação científica, 
a densidade média de fluxo magnético de um imã de geladeira, em T.
Sabendo que 1 µT = 1 × 10
– 9","5,0 × 10
– 6","0,5 × 10
– 6","5,0 × 10
– 3","0,5 × 10
– 3","5,0 × 10",Vestibulinho 1SEM2026,E
20,"O domínio morfoclimático do Cerrado abriga diversas espécies 
da fauna. Somente de aves, são estimadas quase 900 espécies. 
Porém, apenas cerca de 40 espécies são endêmicas, ou seja, ocorrem 
apenas em seu domínio. Isso se deve ao fato de o Cerrado abrigar 
diversas aves migratórias.
O beija-flor-preto é uma ave característica da Mata Atlântica, 
mas que migra para o interior do país, visitando as flores do Cerrado.
km
Com base no mapa, se, por ventura, um beija-flor-preto migrar de uma área de Mata Atlântica, localizada no 
estado de Sergipe, para uma área de Cerrado, localizada no estado de Goiás, ele voará no sentido",Noroeste,Nordeste,Sudoeste,Sudeste,Leste,Vestibulinho 1SEM2026,C
21,A letra da canção nos remete à,ameaça que os pássaros representam aos seres humanos,relação harmoniosa entre os seres humanos e a natureza,preocupação com as doenças transmitidas por pássaros,destruição da natureza causada pelos seres humanos,necessidade de construção de viveiros nas florestas,Vestibulinho 1SEM2026,D
22,O título da canção apresentada se justifica pela,ação de expulsão dos seres humanos do meio ambiente,"dimensão dos versos, ressaltando a velocidade do desmatamento",sonoridade das vogais fechadas que remetem à melancolia da canção,"repetição inicial de termos, expressando a posição dos animais nas árvores","enumeração de substantivos, indicando a diversidade de aves existentes",Vestibulinho 1SEM2026,E
23,Assinale a alternativa que apresenta um sinônimo para o termo destacado em negrito na canção.,porque,ainda que,desde que,contanto que,à medida que,Vestibulinho 1SEM2026,A
24,"A canção apresentada se utiliza tanto de imperativos, como em “some”, “anda” e “te esconde”, quanto de 
vocativos, como em “rolinha”, “andorinha” e “ bem-te-vi”, com o objetivo de",expressar as emoções vivenciadas pelo eu lírico diante do canto dos pássaros,manter um diálogo necessário com a natureza para a preservação da humanidade,persuadir os interlocutores a realizarem ações para protegê-los de uma iminente ameaça,evidenciar o domínio de estruturas poéticas que valorizam a sonoridade dos versos,ensinar os leitores sobre a diversidade de espécies existentes na flora brasileira,Vestibulinho 1SEM2026,C
25,"A águia-de-asa-redonda é uma ave de rapina com uma das visões mais poderosas do reino animal. 
A sua capacidade visual é ampla, tanto em acuidade, quanto em distinção cromática, características essenciais 
para a eficiência de um predador.
Estima-se que essa ave consiga reconhecer um roedor a 5 000 m de altitude. Isso é possível, em parte, devido à 
altíssima densidade de cones, na fóvea do olho. Cones são células fotorreceptoras estimuladas pela percepção 
das cores primárias ópticas. Na águia-de-asa-redonda, os cones de tipos azul, verde, vermelho e duplos 
totalizam cerca de 1 milhão/mm2; enquanto o ser humano possui, aproximadamente, 200 000/mm2.
Além da visão tetracromática, a águia possui uma fotossensibilidade ao espectro UV e apresenta filtros naturais 
para luz polarizada, o que lhe permite localizar peixes rapidamente.
Baseando-se no texto apresentado, sobre essa águia é correto afirmar que","enxerga, em período diurno, todas as presas na mesma cor acinzentada",o fato de possuir cones duplos a impede de visualizar quaisquer cores,o ser humano leva vantagem ao perceber também o espectro infravermelho,"a acuidade visual dela é, aproximadamente, cinco vezes inferior a de um ser humano com visão normal",a capacidade de ela enxergar mais cores com melhor definição é superior à do ser humano,Vestibulinho 1SEM2026,E
26,"O guano é um fertilizante orgânico natural, rico em nitrogênio, fósforo e potássio, que provém das 
fezes de aves migratórias atraídas pela grande quantidade de peixes existentes no litoral norte do Chile, 
fazendo dessa região da América do Sul voltada para o Oceano Pacífico um grande depósito desse material.
Essa profusão de peixes está relacionada ao fenômeno da Ressurgência, que é consequência da ação de 
uma determinada corrente marítima fria. A ausência de chuvas naquela região, também resultado dessa 
corrente marítima, contribui decisivamente para que o material fecal não perca suas propriedades químicas.
De acordo com o texto, a corrente marítima citada no texto é a",da Califórnia,da Antártica,de Benguela,do Brasil,do Peru,Vestibulinho 1SEM2026,E
27,"Em algumas espécies de aves, o design das penas permite alterar a trajetória da luz devido à presença 
de conjuntos de nanoestruturas semelhantes a cristais. Esse fenômeno é chamado iridescência ou 
coloração estrutural e está ligado a estruturas denominadas melanossomos.
Considere que as penas de um tipo de ave possui melanossomos cilíndricos cujo diâmetro mede 300 nm e 
altura 500 nm.
Assinale a alternativa que apresenta a expressão matemática que deve ser multiplicada pelo 
número irracional π para calcular o volume desse melanossomo, em nm3.","150
2 × 500","250
2 × 300","300
2 × 500","500
2 × 300","600
2 × 500",Vestibulinho 1SEM2026,A
28,"A água (H2​O) é indispensável para a sobrevivência dos animais. Ela atua como solvente no corpo, transporta 
nutrientes e regula a temperatura corporal.
Sobre a água, é correto afirmar que é",uma mistura de átomos de hidrogênio e oxigênio,uma mistura dos gases hidrogênio e oxigênio,um composto formado por 3 elementos químicos,um composto formado por 1 molécula de hidrogênio e 1 de oxigênio,um composto formado pela união de 2 átomos de hidrogênio com 1 átomo de oxigênio,Vestibulinho 1SEM2026,E
29,"Os ratões-do-banhado (Myocastor coypus) são animais nativos da América do Sul, onde vivem nas margens 
de lagos e rios.
Possuem pelos, longa cauda cilíndrica e patas palmeadas. Além disso, são mais ágeis na água do que em terra. 
Uma característica distintiva importante são seus grandes dentes frontais cor de laranja devido à presença de 
ferro no esmalte dos dentes.
Esses animais podem ser utilizados na produção de carne e de peles para consumo humano.
Quando retirados de suas regiões de origem, podem se tornar espécies invasoras, porque se adaptam 
rapidamente aos locais onde são introduzidos, reproduzindo-se com eficiência na ausência de predadores e 
causando desequilíbrios nos ecossistemas.
Sobre os animais citados no texto, é correto afirmar que","se adaptam ao meio ambiente em que são introduzidos, pois são mamíferos primatas facilmente 
domesticáveis, o que acarreta um grande equilíbrio do ecossistema local","podem ser utilizados como fonte de proteína animal e possuem adaptações que permitem a movimentação 
na água, apesar de serem mamíferos terrestres","dilaceram a carne das presas, pois são mamíferos carnívoros com dentes caninos pontiagudos e muito 
resistentes devido à presença de ferro","pertencem ao grupo dos mamíferos ruminantes, pois possuem a capacidade de engolir e de mastigar o 
mesmo alimento mais de uma vez","atuam no equilíbrio ecológico da fauna e da flora das matas e das florestas independentemente das 
regiões onde foram introduzidos",Vestibulinho 1SEM2026,B
30,"O pH é uma escala de acidez para identificar o caráter ácido ou básico de uma solução. Esse caráter também 
pode ser identificado com o auxílio de um indicador ácido-base, que muda de cor em função da acidez da 
solução em análise.
A figura representa a escala de pH e a coloração de um determinado indicador ácido-base.
O suco gástrico, presente no estômago de humanos e de muitos animais, é uma solução que auxilia na digestão 
dos alimentos e apresenta pH = 2.
Podemos afirmar corretamente que, em presença de suco gástrico, o indicador apresentará cor","azul, pois se trata de uma solução de caráter básico","azul, pois se trata de uma solução de caráter ácido","verde, pois se trata de uma solução neutra","vermelha, pois se trata de uma solução de caráter ácido","vermelha, pois se trata de uma solução de caráter básico",Vestibulinho 1SEM2026,D
31,"Com base nesses dados, podemos afirmar corretamente que",a manada foi 20 km/dia mais rápida que os humanos,a manada foi 40 km/dia mais lenta que os humanos,a manada foi 20 km/dia mais lenta que os humanos,os humanos foram 40 km/dia mais lentos que a manada,os humanos foram 20 km/dia mais rápidos que a manada,Vestibulinho 1SEM2026,A
32,"A migração citada ocorre em função do ciclo da água.
É correto afirmar que o princípio físico relacionado a esse ciclo está associado",à aceleração centrípeta dos ventos tropicais,à diminuição da pressão atmosférica no solo,ao aquecimento constante de rochas vulcânicas,ao vasto aumento da umidade relativa nos desertos,à evaporação e à condensação provocadas pela energia solar,Vestibulinho 1SEM2026,E
33,"Com base no texto, é correto afirmar que a tilápia é","nativa da região Nordeste do Brasil, especificamente do Ceará","rica em vitaminas e minerais, podendo ser utilizada na medicina",cultivada em tanques de água salgada no interior da região Sudeste,o principal produto de exportação do Brasil desde a década de 1990,produzida e comercializada pelo Departamento de Obras Contra as Secas,Vestibulinho 1SEM2026,B
34,"Sobre o peixe citado no texto, assinale a alternativa correta.","Ao ser consumido, a presença de ferro nesses peixes, favorece a formação dos glóbulos vermelhos no 
sangue humano","A pele desses peixes, ao ser utilizada em queimaduras de 2° e 3° graus, impede a cicatrização da área 
lesada no corpo humano","Ao ser consumido, a vitamina D presente nesses peixes é importante para prevenir doenças em crianças, 
tais como o escorbuto e o sarampo","Ao ser consumido, a quantidade baixa de proteínas nesses peixes favorece o ganho de massa magra e 
fortalece o tecido muscular, principalmente em praticantes de atividades físicas","Ao ser consumido, a presença de minerais como cálcio e zinco, nesses peixes, ajuda a prevenir o 
aparecimento de tromboses, a febre amarela e a prisão de ventre nas pessoas idosas",Vestibulinho 1SEM2026,A
35,"A hemoglobina é uma proteína presente no sangue de animais vertebrados. Ela contém ferro, que é responsável
Fe
56
26
pelo transporte de oxigênio e é representado por: .
Sobre esse elemento, é correto afirmar que apresenta",número de massa 56,número atômico 30,30 prótons,56 elétrons,26 nêutrons,Vestibulinho 1SEM2026,A
36,"Baseando-se no texto, é correto afirmar que","os feromônios são compostos produzidos por alguns animais, não sendo encontrados nos seres humanos",não é possível produzir feromônios em laboratório para usos específicos,"utiliza-se, na agricultura, o feromônio de trilha do percevejo escuro para atrair predadores desse inseto",o feromônio sintetizado para controlar pragas no milho apresenta fórmula molecular C8H16O2,"o feromônio representado tem, em sua estrutura, 15 átomos de hidrogênio e um átomo de oxigênio",Vestibulinho 1SEM2026,D
37,"O uso desses compostos, na agricultura, está associado","à contaminação do solo e dos lençóis freáticos, causando danos irreversíveis ao meio ambiente","à exterminação de todos os insetos da área agrícola, incluindo polinizadores como abelhas","às alternativas sustentáveis, porque são específicos para o alvo-praga","à sua toxidade para humanos e animais, representando um risco à saúde pública","à produção de grande quantidade de produtos químicos industriais, contribuindo para a poluição do ar",Vestibulinho 1SEM2026,C
38,"Em 2019, o Earthwatch Institute declarou que as abelhas são os seres vivos mais importantes do planeta, 
durante uma reunião da Royal Geographical Society de Londres.
Essa declaração está associada ao fato de as abelhas serem os principais seres vivos responsáveis por 
polinizar cerca de 75% das culturas alimentares do mundo.
No entanto, vários estudos demonstram que as abelhas enfrentam risco de extinção, em várias partes do 
mundo, devido a fatores como o desmatamento, o uso de agrotóxicos, a exposição a diferentes parasitas e as 
mudanças climáticas, que afetam a disponibilidade de flores e de alimentos.
Baseando-se no texto, é correto afirmar que","a pulverização de agrotóxicos e o uso de inseticidas alteram o material genético das abelhas, deixando-as 
lentas, sem asas, com maior capacidade de polinização e de produção de mel","o desmatamento beneficia a formação de enxames e a construção de novos ninhos de abelhas devido ao 
aumento da disponibilidade de alimento, como flores silvestres","o aumento do número de flores encurta o tempo de vida das abelhas, causando a redução da reprodução 
das plantas e prejudicando a biodiversidade terrestre","a ocorrência de doenças prejudiciais à visão e à memória de navegação das abelhas aumenta a 
capacidade de elas retornarem às colmeias","o uso de agrotóxicos na agricultura para o controle de pragas acarreta a diminuição da população 
de abelhas, interferindo na polinização natural",Vestibulinho 1SEM2026,E
39,"Os povos inuítes, que habitam a região do Círculo Polar Ártico aprenderam a importância do uso de certos 
tipos de peles para o isolamento térmico por meio da observação dos animais locais. Uma aplicação desse 
aprendizado é a confecção de roupas feitas com pele de caribu (rena) que ajuda a manter a temperatura 
corporal aproximadamente constante.
Assinale a alternativa que justifica corretamente o equilíbrio térmico estabelecido.",A alta capacidade de absorção de moléculas de água pela pele é a responsável por evitar a sudorese,A perda de calor da pele do corpo para o ambiente é a responsável por manter o corpo aquecido,"A pele auxilia no equilíbrio térmico devido à convecção, mantendo o corpo aquecido",A reflexão total da radiação solar recebida pelo corpo aumenta a temperatura corporal,A presença de proteínas vivas isolantes na pele é a responsável por facilitar a transferência térmica,Vestibulinho 1SEM2026,C
40,"Alguns povos nômades do deserto do Saara utilizam camelos como meio de transporte. Esses animais têm a 
capacidade de caminhar longas distâncias sobre areia fofa sem afundar.
Podemos afirmar corretamente que essa capacidade está relacionada ao princípio físico da","radiação solar, pois a areia úmida auxilia na sustentação do animal","gravidade, pois os desertos apresentam uma diminuição da gravidade local","condutividade térmica, pois os cascos são constituídos de uma resina isolante","resistividade elétrica, pois a areia apresenta sílica, um bom condutor de eletricidade","pressão superficial, pois os cascos amplos distribuem o peso do animal e da sua carga",Vestibulinho 1SEM2026,E
